prompt_id,prompt_uid,image_path,prompt_status,image_status,qc_status,intended_score_band,intended_coarse_class,intended_representative_score,reviewed_score_band,reviewed_coarse_class,final_score_band,final_coarse_class,training_score_band,training_coarse_class,training_representative_score,training_label_source,prompt_title,prompt_model,band_spec_file,qc_notes,damage_profile_primary,damage_profile_secondary,damage_location_primary,box_form_factor,box_pattern,label_presence,tape_profile,background_context,camera_angle,lighting_style
2,prompt_40922f20798d41da,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_2c879625f5e1414b.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Plain long box with no visible damage,gpt-5.4-mini,00-10-intact.md,Clean intact long box; good 0-10 anchor.,visually_intact,tiny_handling_scuffs,top_flap_edge,long_rectangular,shipping_label_patch,no_visible_label,minimal_tape,delivery_sorting_table,three_quarter_right,soft_even
7,prompt_894c986e5e594e95,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_e1e0ba26cd114283.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Softened corner on a small cube box,gpt-5.4-mini,11-20-minor-low.md,Subtle localized softened corner; acceptable low-minor example.,light_corner_softening,none,front_bottom_right_corner,small_cube,recycled_patchwork_cardboard,no_visible_label,cross_tape,delivery_sorting_table,low_angle_front,soft_even
13,prompt_8e30446e69c04717,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_0ac3af1b04c345b4.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,Side-panel dent with short crease,gpt-5.4-mini,21-30-minor-mid.md,Localized side dent and short crease fit minor-mid.,face_dent_with_crease,secondary_corner_softening,right_side_panel,tall_rectangular,shipping_label_patch,multiple_small_stickers,reinforced_edge_tape,plain_studio_floor,front_eye_level,cool_fluorescent
18,prompt_793494e487b64ec3,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5c46c3531ebe45ab.png,approved,generated,accepted_as_labeled,31-35,minor,33,31-35,minor,31-35,minor,31-35,minor,33,intended_reviewed_match,Top-Left Corner Bend with Small Stain,gpt-5.4-mini,31-35-minor-high.md,Bent top-left edge with small supporting damage fits high-minor.,bent_flap_or_edge,small_stain_patch,front_top_left_corner,long_rectangular,shipping_label_patch,no_visible_label,cross_tape,delivery_sorting_table,front_eye_level,soft_even
22,prompt_9b1f9169ff9143ee,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_e4b36aa7a0bf4ff2.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Porch box with split edge and softened corner,gpt-5.4-mini,36-45-moderate-low.md,Localized edge split without cavity fits moderate-low.,edge_split_without_cavity,secondary_corner_softening,front_bottom_right_corner,medium_standard,recycled_patchwork_cardboard,no_visible_label,old_peeling_tape,outdoor_doorstep,three_quarter_right,soft_even
37,prompt_12e3ed9648e94eb9,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_38262ecc6d9147ef.png,approved,generated,accepted_as_labeled,66-75,severe,70,66-75,severe,66-75,severe,66-75,severe,70,intended_reviewed_match,Large torn-open corner on mailer box,gpt-5.4-mini,66-75-severe-low.md,Large torn-open corner with exposed interior fits severe-low.,large_corner_opening,none,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,barcode_label_only,cross_tape,van_cargo_area,front_eye_level,soft_even
42,prompt_b6bb0fbf848d4ddb,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_4df89db168b248ca.png,approved,generated,accepted_relabel,76-85,severe,80,66-75,severe,66-75,severe,66-75,severe,70,final_relabel,Broken Corner Long Box,gpt-5.4-mini,76-85-severe-mid.md,Good image but not severe-mid; damage reads closer to severe-low with one main collapsed corner.,multiple_collapsed_corners,additional_crushed_edge,front_bottom_left_corner,long_rectangular,subtle_printed_markings,small_shipping_label,single_center_tape,outdoor_doorstep,low_angle_front,dim_ambient
46,prompt_8599c97a443f41e0,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5ede6e9e2a8d4663.png,approved,generated,accepted_as_labeled,86-100,severe,93,86-100,severe,86-100,severe,86-100,severe,93,intended_reviewed_match,Severe tear at front top-left,gpt-5.4-mini,86-100-severe-high.md,Very large open tear with dominant interior exposure; valid severe-high example.,very_large_open_tear,broad_surface_grime,front_top_left_corner,small_cube,shipping_label_patch,barcode_label_only,single_center_tape,plain_studio_floor,three_quarter_right,dim_ambient
51,prompt_e7e5c1e862e24d63,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d198d1b2e1f6415c.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Low-Angle Punctured Side Panel,gpt-5.4-mini,36-45-moderate-low.md,Small puncture with localized denting is readable and contained.,single_small_puncture_with_denting,none,right_side_panel,long_rectangular,tape_heavy_plain,barcode_label_only,reinforced_edge_tape,packing_station,low_angle_front,cool_fluorescent
52,prompt_8cdd9d683a8e4082,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_5fbdbe5ebbf04adb.png,approved,generated,accepted_as_labeled,46-55,moderate,50,46-55,moderate,46-55,moderate,46-55,moderate,50,intended_reviewed_match,Moderate split on front top-left corner,gpt-5.4-mini,46-55-moderate-mid.md,Clear corner split with limited opening fits moderate-mid.,clear_corner_split,none,front_top_left_corner,small_cube,subtle_printed_markings,no_visible_label,single_center_tape,warehouse_floor,three_quarter_left,soft_even
53,prompt_44a6e917f5d040fb,/Users/inventure71/VSProjects/School/Dream2Detect/generated_images/synthetic_all/img_d0a8ae3c7249453b.png,approved,generated,accepted_as_labeled,56-65,moderate,60,56-65,moderate,56-65,moderate,56-65,moderate,60,intended_reviewed_match,Near-Severe Corner Cavity,gpt-5.4-mini,56-65-moderate-high.md,Near-severe corner cavity stays bounded and works as moderate-high.,small_cavity_with_deformation,secondary_face_dent,front_top_right_corner,tall_rectangular,plain_brown,barcode_label_only,minimal_tape,outdoor_doorstep,three_quarter_left,backlit_but_readable
