prompt_id,prompt_uid,image_path,prompt_status,image_status,qc_status,intended_score_band,intended_coarse_class,intended_representative_score,reviewed_score_band,reviewed_coarse_class,final_score_band,final_coarse_class,training_score_band,training_coarse_class,training_representative_score,training_label_source,prompt_title,prompt_model,band_spec_file,qc_notes,damage_profile_primary,damage_profile_secondary,damage_location_primary,box_form_factor,box_pattern,label_presence,tape_profile,background_context,camera_angle,lighting_style,preprocessing_profile
22,prompt_5f1824746e86442d,images/img_18f44532799b4a81.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Intact Flat Mailer at Packing Station,gpt-5.4-mini,00-10-intact.md,,visually_intact,tiny_handling_scuffs,front_bottom_right_corner,flat_mailer_box,recycled_patchwork_cardboard,no_visible_label,single_center_tape,packing_station,slightly_top_down,mixed_indoor,rgb_resize_384
23,prompt_be94516699694a79,images/img_75a680f7998244f2.png,approved,generated,accepted_as_labeled,0-10,intact,5,0-10,intact,0-10,intact,0-10,intact,5,intended_reviewed_match,Normal Shipping Box on Sorting Table,gpt-5.4-mini,00-10-intact.md,,visually_intact,none,front_bottom_left_corner,medium_standard,recycled_patchwork_cardboard,multiple_small_stickers,reinforced_edge_tape,delivery_sorting_table,low_angle_front,backlit_but_readable,rgb_resize_384
24,prompt_08337e16180a4379,images/img_93bbf947d3e7487a.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Light Corner Softening on Porch Mailer,gpt-5.4-mini,11-20-minor-low.md,,light_corner_softening,small_stain_patch,front_face_center,flat_mailer_box,tape_heavy_plain,barcode_label_only,cross_tape,outdoor_doorstep,three_quarter_right,backlit_but_readable,rgb_resize_384
25,prompt_8f310adf6e4c4319,images/img_ec6230f707054dee.png,approved,generated,accepted_as_labeled,11-20,minor,15,11-20,minor,11-20,minor,11-20,minor,15,intended_reviewed_match,Minor Edge Softening on Small Box,gpt-5.4-mini,11-20-minor-low.md,,light_corner_softening,none,top_flap_edge,small_cube,shipping_label_patch,barcode_label_only,reinforced_edge_tape,plain_studio_floor,three_quarter_right,backlit_but_readable,rgb_resize_384
26,prompt_20b3a77d85524971,images/img_8753f2770fb84885.png,approved,generated,accepted_relabel,21-30,minor,25,11-20,minor,11-20,minor,11-20,minor,15,final_relabel,Minor fray at front top-right corner,gpt-5.4-mini,21-30-minor-mid.md,,small_corner_fray,tiny_handling_scuffs,front_top_right_corner,medium_standard,plain_brown,barcode_label_only,single_center_tape,van_cargo_area,three_quarter_right,soft_even,rgb_resize_384
27,prompt_4564d17dbc4e4e81,images/img_494eb42a25a245e4.png,approved,generated,accepted_as_labeled,21-30,minor,25,21-30,minor,21-30,minor,21-30,minor,25,intended_reviewed_match,Limited corner fray on worn recycled box,gpt-5.4-mini,21-30-minor-mid.md,,small_corner_fray,none,front_bottom_right_corner,medium_standard,recycled_patchwork_cardboard,small_shipping_label,old_peeling_tape,warehouse_floor,slightly_top_down,soft_even,rgb_resize_384
28,prompt_b3c5a2f04c474730,images/img_1edab26588f8454b.png,approved,generated,accepted_relabel,31-35,minor,33,21-30,minor,21-30,minor,21-30,minor,25,final_relabel,Front-Facing Minor Dent with Lifted Tape,gpt-5.4-mini,31-35-minor-high.md,,bent_flap_or_edge,minor_tape_peel,front_face_center,small_cube,recycled_patchwork_cardboard,barcode_label_only,minimal_tape,van_cargo_area,front_eye_level,backlit_but_readable,rgb_resize_384
29,prompt_16bf5e3da76c4956,images/img_5e52b334584d4b0e.png,approved,generated,accepted_relabel,31-35,minor,33,21-30,minor,21-30,minor,21-30,minor,25,final_relabel,Flat Mailer with Limited Side Tear and Creases,gpt-5.4-mini,31-35-minor-high.md,,short_partial_tear,light_crease_cluster,left_side_panel,flat_mailer_box,shipping_label_patch,small_shipping_label,cross_tape,van_cargo_area,slightly_top_down,dim_ambient,rgb_resize_384
30,prompt_4327895a63a14586,images/img_890e2ce07f5c4110.png,approved,generated,accepted_as_labeled,36-45,moderate,40,36-45,moderate,36-45,moderate,36-45,moderate,40,intended_reviewed_match,Damaged doorstep box with frayed corner and dent,gpt-5.4-mini,36-45-moderate-low.md,,frayed_corner_plus_face_dent,minor_tape_peel,front_bottom_left_corner,medium_standard,shipping_label_patch,no_visible_label,single_center_tape,outdoor_doorstep,three_quarter_right,mixed_indoor,rgb_resize_384
31,prompt_fcb1c7d7baae46a9,images/img_c09fc0fa5cea40f7.png,approved,generated,accepted_relabel,36-45,moderate,40,31-35,minor,31-35,minor,31-35,minor,33,final_relabel,Flat mailer box with edge split and softened corner,gpt-5.4-mini,36-45-moderate-low.md,,edge_split_without_cavity,secondary_corner_softening,front_top_left_corner,flat_mailer_box,recycled_patchwork_cardboard,multiple_small_stickers,reinforced_edge_tape,plain_studio_floor,slightly_top_down,soft_even,rgb_resize_384
